[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jindra\2-27-2020\vhb-1.gcd
Output Date	3/11/2020
Output Time	1:38:57 PM

[File Information]
Type	Data File
Generated	2/28/2020 3:37:40 AM
Generated by	Admin
Modified	3/11/2020 1:24:53 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	2/28/2020 3:41:46 AM
Type	Unknown
Level	1
Sample Name	vhb-1
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	14
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jindra\2-27-2020\vhb-1.gcd
Method File	C:\GCsolution\Data\Pfleger\Jindra\2-7-20\Agilent_FatWaxUI_method2_trunc.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jindra\2-27-2020\2-27-20-FaOH.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	92
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.395	1.293	1.671	605029382	178201107	0.03	0.00000	   			0.000	4372.360	0.000	1.176	0.000	0.000
2	2.367	1.671	2.511	1019046258	59936558	0.17	0.00000	 V 			0.697	360.530	0.000	0.538	3.345	0.000
3	2.564	2.511	2.609	403367	191650	0.02	0.00000	 V 			0.838	62037.600	0.000	0.000	0.732	1.203
4	2.675	2.609	3.104	432090	89040	0.05	0.00000	SV 			0.918	10798.639	0.000	0.000	1.545	1.095
5	3.166	3.104	3.216	18652	9612	0.02	0.00000	 V 			1.270	83013.981	0.000	0.000	6.699	1.383
6	3.262	3.216	3.309	2047	519	0.04	0.00000	 V 	15	Xylose	1.339	0.000	0.000	0.000	0.000	1.054
7	3.455	3.374	3.654	163222	37025	0.04	0.00000	   	15	Xylose	1.477	16087.987	0.000	1.507	0.000	1.103
8	3.742	3.664	3.897	50263	8103	0.06	0.00000	   	22	Lactic Acid	1.683	6995.488	0.000	1.425	1.997	1.139
9	4.051	3.897	4.238	28474	6044	0.05	0.00000	 V 	23	Lactic Acid	1.904	31044.373	0.000	0.000	2.289	1.132
10	4.259	4.238	4.443	3014	358	0.08	0.00000	 V 			2.053	0.000	0.000	0.000	0.000	1.078
11	4.579	4.452	4.807	726092	148680	0.05	0.00000	   			2.283	21909.404	0.000	1.335	0.000	1.112
12	4.858	4.812	4.886	1350	469	0.03	0.00000	   	1	Acetate_Sugars	2.483	0.000	0.000	0.000	0.000	1.087
13	4.910	4.886	4.989	1509	397	0.04	0.00000	 V 	1	Acetate_Sugars	2.520	0.000	0.000	0.000	0.000	1.015
14	5.076	4.998	5.185	1556	299	0.05	0.00000	   	2	Sugars	2.639	18725.844	0.000	1.100	0.000	1.047
15	5.244	5.194	5.334	4864	2119	0.02	0.00000	   	2	Sugars	2.759	128593.856	0.000	1.226	1.619	1.045
16	5.536	5.353	5.614	4928	1017	0.05	0.00000	   	3	Propionate_Sugars	2.969	99867.308	0.000	0.611	4.564	1.076
17	5.787	5.624	5.810	4684	902	0.05	0.00000	   	4	Isobutyrate	3.149	0.000	0.000	0.000	0.000	1.061
18	5.863	5.810	5.918	5126	1092	0.05	0.00000	 V 	4	Isobutyrate	3.203	0.000	0.000	0.000	0.000	1.017
19	6.013	5.918	6.286	210846	38791	0.05	0.00000	 V 	16	Xylose	3.311	29203.345	0.000	1.324	0.000	1.034
20	6.439	6.286	6.520	27587	8260	0.03	0.00000	   	5	Butyrate	3.616	139122.525	0.000	0.689	4.075	1.092
21	6.751	6.604	6.823	5920	1338	0.04	0.00000	   	6	Isovalerate	3.840	98606.683	0.000	0.685	4.030	1.062
22	6.973	6.930	7.098	2455	738	0.03	0.00000	 V 	7	n-Valerate	3.999	119985.569	0.000	0.000	2.680	1.042
23	7.978	7.780	8.503	2602373	367231	0.07	0.00000	S  	9	n-Caproic_Sugars	4.719	30255.698	0.000	0.907	7.629	1.180
24	9.433	9.348	9.534	2889	690	0.04	0.00000	   	24	Lactic Acid	5.763	122640.088	0.000	0.000	10.023	1.221
25	9.591	9.534	9.707	5215	1664	0.03	0.00000	 V 	24	Lactic Acid	5.876	240671.041	0.000	1.262	1.706	1.020
26	10.174	10.024	10.412	211112	50266	0.04	0.00000	   	12	Sugars	6.294	148925.758	0.000	1.094	6.359	1.071
27	10.487	10.412	10.622	39794	17483	0.02	0.00000	 V 	25	Lactic Acid	6.518	530645.093	0.000	0.962	3.850	1.036
28	10.948	10.888	11.018	1521	521	0.03	0.00000	   	13	Sugars	6.849	389287.073	0.000	0.000	7.240	1.051
29	11.525	11.415	11.662	3431965	1051299	0.03	0.00000	   	14	Sugars	7.262	308133.252	0.000	0.784	7.548	1.060
30	11.821	11.779	11.947	7874	1494	0.05	0.00000	   	14	Sugars	7.475	81293.969	0.000	1.890	2.387	1.029
31	12.008	11.956	12.050	3950	1854	0.02	0.00000	   	21	Xylose	7.609	726128.887	0.000	1.130	1.684	1.018
32	12.076	12.050	12.096	1827	1107	0.02	0.00000	 V 	21	Xylose	7.658	1000449.847	0.000	0.000	1.308	1.006
33	12.112	12.096	12.157	1307	693	0.02	0.00000	 V 	21	Xylose	7.684	0.000	0.000	0.000	0.000	1.003
34	12.228	12.157	12.334	22974	12333	0.02	0.00000	   	21	Xylose	7.767	1184109.228	0.000	1.470	0.000	1.011
35	12.441	12.381	12.577	203716	87985	0.02	0.00000	 V 	21	Xylose	7.919	714847.070	0.000	1.235	4.103	1.020
