[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\A12-3.gcd
Output Date	6/30/2020
Output Time	7:08:36 PM

[File Information]
Type	Data File
Generated	6/29/2020 10:06:06 PM
Generated by	Admin
Modified	6/29/2020 10:49:43 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	6/29/2020 10:12:36 PM
Type	Unknown
Level	1
Sample Name	A12-3
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	10
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\A12-3.gcd
Method File	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\20170201_Stabilwax60.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\20171213_multifors2.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	100
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.115	1.011	1.161	660404860	344631709	0.02	0.00000	   			0.000	7642.873	0.000	1.139	0.000	0.000
2	1.187	1.161	2.291	129010037	80700025	0.02	0.00000	SV 			0.065	14134.338	0.000	0.000	1.590	0.000
3	1.253	1.237	1.294	2087245	1430636	0.01	0.00000	T  			0.124	15609.589	0.000	1.570	1.646	1.911
4	1.422	1.397	1.522	25352	11146	0.02	0.00000	T  			0.275	8837.875	0.000	1.867	3.372	2.228
5	1.650	1.619	1.679	1311	582	0.02	0.00000	T  			0.480	0.000	0.000	0.000	0.000	1.742
6	1.694	1.679	1.750	1029	427	0.02	0.00000	TV 			0.520	0.000	0.000	0.000	0.000	1.084
7	1.830	1.801	1.835	1871	1520	0.01	0.00000	T  			0.642	0.000	0.000	0.000	0.000	1.234
8	1.880	1.835	2.095	33178	9018	0.04	0.00000	TV 			0.686	7786.552	0.000	0.000	0.000	1.070
9	2.129	2.095	2.195	3374	1254	0.03	0.00000	TV 			0.909	12890.603	0.000	0.000	3.113	1.325
10	2.751	2.661	2.837	36657	13757	0.03	0.00000	   			1.468	23326.735	0.000	1.415	8.488	1.614
11	2.891	2.841	3.009	14300	3843	0.04	0.00000	   			1.593	13577.046	0.000	1.635	1.636	1.085
12	3.502	3.459	3.575	1060	358	0.03	0.00000	   			2.141	29860.496	0.000	1.327	6.794	1.344
13	5.112	5.033	5.219	27163	5536	0.05	0.00000	   			3.585	24580.695	0.000	1.291	15.269	1.675
14	7.104	7.026	7.199	1369	210	0.07	0.00000	 V 			5.372	20868.537	0.000	0.000	12.209	1.498
15	7.501	7.387	7.578	6261	889	0.07	0.00000	   			5.728	18798.694	0.000	0.000	1.915	1.066
16	7.705	7.578	7.721	2637	247	0.11	0.00000	 V 			5.911	0.000	0.000	0.000	0.000	1.032
17	7.968	7.834	8.065	10931	1313	0.08	0.00000	   			6.147	15657.540	0.000	0.000	0.000	1.040
18	8.151	8.090	8.167	2019	405	0.05	0.00000	 V 			6.311	0.000	0.000	0.000	0.000	1.027
19	9.012	8.915	9.030	1055	188	0.06	0.00000	 V 			7.084	0.000	0.000	0.000	0.000	1.122
20	10.977	9.773	10.983	29436829	1172955	0.25	0.00000	 V 			8.846	0.000	0.000	0.000	0.000	1.249
21	11.144	10.983	11.150	13398128	1520317	0.09	0.00000	 V 			8.996	0.000	0.000	0.000	0.000	1.017
