[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\B12-3.gcd
Output Date	6/30/2020
Output Time	7:08:43 PM

[File Information]
Type	Data File
Generated	6/30/2020 6:45:09 AM
Generated by	Admin
Modified	6/30/2020 7:18:19 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	6/30/2020 6:51:11 AM
Type	Unknown
Level	1
Sample Name	B12-3
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	25
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\B12-3.gcd
Method File	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\20170201_Stabilwax60-trunc.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\20171213_multifors2.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	102
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.114	1.014	1.162	500156705	264163242	0.02	0.00000	   			0.000	7960.187	0.000	1.259	0.000	0.000
2	1.186	1.162	2.282	96933786	55988970	0.02	0.00000	SV 			0.064	11720.993	0.000	0.000	1.529	0.000
3	1.253	1.238	1.294	1407856	933501	0.02	0.00000	T  			0.125	14262.736	0.000	1.585	1.573	1.941
4	1.423	1.395	1.546	32059	12957	0.02	0.00000	T  			0.277	7946.984	0.000	1.930	3.213	2.221
5	1.652	1.615	1.679	1551	668	0.02	0.00000	T  			0.482	0.000	0.000	0.000	0.000	1.742
6	1.697	1.679	1.751	1355	510	0.03	0.00000	TV 			0.523	0.000	0.000	0.000	0.000	1.084
7	1.832	1.802	1.839	1976	1426	0.01	0.00000	T  			0.644	0.000	0.000	0.000	0.000	1.232
8	1.881	1.839	2.099	44492	10148	0.04	0.00000	TV 			0.688	8000.611	0.000	0.000	0.000	1.069
9	2.128	2.099	2.192	4332	1443	0.03	0.00000	TV 			0.910	11269.280	0.000	0.000	3.014	1.322
10	2.751	2.668	2.835	22213	8484	0.03	0.00000	   			1.468	24713.981	0.000	1.442	8.314	1.614
11	2.890	2.836	3.244	27529	4280	0.06	0.00000	   			1.593	13338.744	0.000	4.137	1.644	1.085
12	5.109	5.034	5.203	22547	4978	0.05	0.00000	   			3.584	28747.678	0.000	1.177	20.165	2.249
13	7.105	7.000	7.199	1516	213	0.07	0.00000	 V 			5.376	21307.754	0.000	0.000	12.702	1.500
14	7.499	7.379	7.566	5924	839	0.07	0.00000	   			5.729	0.000	0.000	0.000	0.000	1.066
15	7.660	7.566	7.671	2380	358	0.07	0.00000	 V 			5.874	0.000	0.000	0.000	0.000	1.025
16	7.958	7.834	8.051	7522	1048	0.07	0.00000	   			6.141	26016.963	0.000	0.000	0.000	1.046
17	11.066	9.776	11.072	36458641	1347418	0.27	0.00000	 V 			8.930	0.000	0.000	0.000	0.000	1.454
18	11.136	11.072	11.146	6319351	1508836	0.04	0.00000	 V 			8.992	0.000	0.000	0.000	0.000	1.007
19	11.262	11.146	11.272	12567609	1784386	0.07	0.00000	 V 			9.105	0.000	0.000	0.000	0.000	1.013
20	11.366	11.272	11.370	11201849	2038478	0.05	0.00000	 V 			9.199	0.000	0.000	0.000	0.000	1.010
21	11.463	11.370	11.470	12981381	2255930	0.06	0.00000	 V 			9.286	0.000	0.000	0.000	0.000	1.009
22	11.521	11.470	11.532	8946018	2455799	0.04	0.00000	 V 			9.338	0.000	0.000	0.000	0.000	1.006
23	11.545	11.532	11.554	3152892	2477393	0.01	0.00000	 V 			9.359	0.000	0.000	0.000	0.000	1.002
24	11.602	11.554	11.616	9836183	2690089	0.04	0.00000	 V 			9.411	0.000	0.000	0.000	0.000	1.006
25	11.695	11.616	11.702	14403006	2931534	0.05	0.00000	 V 			9.495	0.000	0.000	0.000	0.000	1.009
26	11.720	11.702	11.724	4043665	3001705	0.01	0.00000	 V 			9.517	0.000	0.000	0.000	0.000	1.002
27	11.750	11.724	11.763	7145164	3136301	0.02	0.00000	 V 			9.544	0.000	0.000	0.000	0.000	1.003
28	11.801	11.763	11.806	8146242	3239819	0.03	0.00000	 V 			9.590	0.000	0.000	0.000	0.000	1.005
29	12.115	11.806	12.122	71280363	4264025	0.17	0.00000	 V 			9.871	0.000	0.000	0.000	0.000	1.029
30	12.199	12.122	12.204	21942947	4552931	0.05	0.00000	 V 			9.946	0.000	0.000	0.000	0.000	1.008
31	12.259	12.204	12.271	18654346	4788184	0.04	0.00000	 V 			10.000	0.000	0.000	0.000	0.000	1.005
32	12.344	12.271	12.359	26022086	5079702	0.05	0.00000	 V 			10.077	0.000	0.000	0.000	0.000	1.008
33	12.414	12.359	12.428	21552688	5355730	0.04	0.00000	 V 			10.139	0.000	0.000	0.000	0.000	1.006
34	12.437	12.428	12.442	4237753	5307238	0.01	0.00000	 V 			10.160	0.000	0.000	0.000	0.000	1.002
35	12.483	12.442	12.494	16958957	5547044	0.03	0.00000	 V 			10.201	0.000	0.000	0.000	0.000	1.004
36	12.530	12.494	12.542	16154395	5682075	0.03	0.00000	 V 			10.243	0.000	0.000	0.000	0.000	1.004
37	12.634	12.542	12.656	40412588	6032186	0.07	0.00000	 V 			10.336	0.000	0.000	0.000	0.000	1.009
38	12.677	12.656	12.687	11180763	6120965	0.02	0.00000	 V 			10.375	0.000	0.000	0.000	0.000	1.004
39	12.738	12.687	12.746	22097305	6357960	0.03	0.00000	 V 			10.430	0.000	0.000	0.000	0.000	1.005
40	12.749	12.746	12.758	4566605	6349831	0.01	0.00000	 V 			10.440	0.000	0.000	0.000	0.000	1.001
