[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\D10-1.gcd
Output Date	6/30/2020
Output Time	7:08:36 PM

[File Information]
Type	Data File
Generated	6/29/2020 10:49:45 PM
Generated by	Admin
Modified	6/29/2020 11:33:24 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	6/29/2020 10:56:17 PM
Type	Unknown
Level	1
Sample Name	D10-1
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	11
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\D10-1.gcd
Method File	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\20170201_Stabilwax60.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\20171213_multifors2.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	102
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.115	1.012	1.162	648610720	340837388	0.02	0.00000	   			0.000	7766.449	0.000	1.155	0.000	0.000
2	1.187	1.162	2.278	126257069	79208187	0.02	0.00000	SV 			0.065	14125.607	0.000	0.000	1.598	0.000
3	1.252	1.236	1.294	2043904	1393884	0.01	0.00000	T  			0.124	15405.657	0.000	1.582	1.643	1.912
4	1.422	1.396	1.530	26123	11323	0.02	0.00000	T  			0.276	8730.863	0.000	1.890	3.357	2.229
5	1.650	1.619	1.679	1343	592	0.02	0.00000	T  			0.480	0.000	0.000	0.000	0.000	1.741
6	1.696	1.679	1.750	1085	431	0.03	0.00000	TV 			0.522	0.000	0.000	0.000	0.000	1.086
7	1.829	1.800	1.840	2735	1765	0.02	0.00000	T  			0.641	0.000	0.000	0.000	0.000	1.229
8	1.880	1.840	2.098	37128	9091	0.04	0.00000	TV 			0.687	7960.760	0.000	0.000	0.000	1.072
9	2.128	2.098	2.196	3647	1381	0.03	0.00000	TV 			0.909	13681.019	0.000	0.000	3.161	1.323
10	2.750	2.664	2.836	35938	13674	0.03	0.00000	   			1.468	24230.821	0.000	1.430	8.701	1.614
11	2.891	2.838	3.239	24853	4015	0.06	0.00000	   			1.594	12856.635	0.000	4.138	1.639	1.086
12	3.501	3.458	3.576	1044	364	0.03	0.00000	   			2.141	32696.110	0.000	1.373	6.810	1.343
13	5.112	5.031	5.211	28580	5479	0.05	0.00000	   			3.586	23272.454	0.000	0.000	15.278	1.675
14	5.246	5.211	5.286	2182	529	0.04	0.00000	 V 			3.707	0.000	0.000	0.000	0.000	1.034
