[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\D10-2.gcd
Output Date	6/30/2020
Output Time	7:08:37 PM

[File Information]
Type	Data File
Generated	6/29/2020 11:33:25 PM
Generated by	Admin
Modified	6/30/2020 12:07:02 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	6/29/2020 11:39:55 PM
Type	Unknown
Level	1
Sample Name	D10-2
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	12
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\D10-2.gcd
Method File	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\20170201_Stabilwax60-trunc.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jindra\June 2020\FaOH 6-29-20\20171213_multifors2.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	89
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.114	1.011	1.162	618928492	323591173	0.02	0.00000	   			0.000	7709.453	0.000	1.185	0.000	0.000
2	1.186	1.162	2.295	120133070	73389275	0.02	0.00000	SV 			0.065	13273.550	0.000	0.000	1.571	0.000
3	1.252	1.236	1.294	1886666	1268209	0.01	0.00000	T  			0.124	14838.836	0.000	1.579	1.614	1.920
4	1.422	1.396	1.528	27270	11528	0.02	0.00000	T  			0.276	8309.450	0.000	1.871	3.284	2.226
5	1.650	1.618	1.679	1394	605	0.02	0.00000	T  			0.481	0.000	0.000	0.000	0.000	1.741
6	1.696	1.679	1.750	1158	456	0.03	0.00000	TV 			0.522	0.000	0.000	0.000	0.000	1.085
7	1.829	1.800	1.842	2988	1874	0.02	0.00000	T  			0.642	0.000	0.000	0.000	0.000	1.230
8	1.880	1.842	2.094	35671	9344	0.04	0.00000	TV 			0.688	7563.997	0.000	0.000	0.000	1.071
9	2.128	2.094	2.192	4327	1538	0.03	0.00000	TV 			0.910	13558.771	0.000	0.000	3.116	1.324
10	2.751	2.670	2.842	430217	194640	0.02	0.00000	   			1.469	36448.563	0.000	1.275	9.555	1.614
11	2.891	2.842	3.032	15375	3883	0.04	0.00000	   			1.595	13224.725	0.000	1.849	1.771	1.085
12	3.500	3.458	3.600	1090	387	0.03	0.00000	   			2.142	35735.179	0.000	1.387	7.001	1.343
13	5.112	5.030	5.246	30088	5721	0.05	0.00000	   			3.589	22015.381	0.000	1.342	15.257	1.676
14	7.090	7.019	7.206	1519	235	0.06	0.00000	 V 			5.364	23590.251	0.000	0.000	12.297	1.495
15	7.501	7.382	7.595	6607	865	0.08	0.00000	   			5.732	18149.731	0.000	0.000	2.024	1.069
16	7.679	7.611	7.700	1416	253	0.06	0.00000	 V 			5.892	0.000	0.000	0.000	0.000	1.028
17	7.961	7.836	7.983	6129	1196	0.05	0.00000	   			6.145	0.000	0.000	0.000	0.000	1.043
18	7.991	7.983	8.067	3325	1008	0.03	0.00000	 V 			6.172	0.000	0.000	0.000	0.000	1.004
19	11.091	9.740	11.099	38492543	1407645	0.27	0.00000	 V 			8.955	0.000	0.000	0.000	0.000	1.451
20	11.280	11.099	11.296	19267292	1841049	0.10	0.00000	 V 			9.124	0.000	0.000	0.000	0.000	1.019
21	11.349	11.296	11.355	6767620	1990775	0.03	0.00000	 V 			9.186	0.000	0.000	0.000	0.000	1.007
22	11.522	11.355	11.527	22877398	2458246	0.09	0.00000	 V 			9.341	0.000	0.000	0.000	0.000	1.017
23	11.532	11.527	11.538	1573476	2462289	0.01	0.00000	 V 			9.350	0.000	0.000	0.000	0.000	1.001
24	11.634	11.538	11.639	15876736	2734932	0.06	0.00000	 V 			9.442	0.000	0.000	0.000	0.000	1.010
25	11.700	11.639	11.704	11175409	2952243	0.04	0.00000	 V 			9.501	0.000	0.000	0.000	0.000	1.006
26	11.786	11.704	11.796	17025192	3217978	0.05	0.00000	 V 			9.578	0.000	0.000	0.000	0.000	1.008
27	11.891	11.796	11.896	20187940	3511242	0.06	0.00000	 V 			9.673	0.000	0.000	0.000	0.000	1.010
28	11.952	11.896	11.968	15858689	3765839	0.04	0.00000	 V 			9.728	0.000	0.000	0.000	0.000	1.006
29	12.024	11.968	12.030	14243919	4004295	0.04	0.00000	 V 			9.792	0.000	0.000	0.000	0.000	1.007
30	12.041	12.030	12.055	6100307	4036293	0.02	0.00000	 V 			9.808	0.000	0.000	0.000	0.000	1.002
31	12.109	12.055	12.114	14651058	4280216	0.03	0.00000	 V 			9.868	0.000	0.000	0.000	0.000	1.006
32	12.123	12.114	12.134	5153365	4312674	0.01	0.00000	 V 			9.881	0.000	0.000	0.000	0.000	1.001
33	12.177	12.134	12.190	14823325	4511604	0.03	0.00000	 V 			9.930	0.000	0.000	0.000	0.000	1.005
34	12.342	12.190	12.354	47033608	5068909	0.09	0.00000	 V 			10.077	0.000	0.000	0.000	0.000	1.015
35	12.358	12.354	12.364	3210720	5023699	0.01	0.00000	 V 			10.092	0.000	0.000	0.000	0.000	1.001
