[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jindra\July 2020\MaACR-1.gcd
Output Date	7/8/2020
Output Time	11:13:58 PM

[File Information]
Type	Data File
Generated	7/6/2020 5:05:21 PM
Generated by	Admin
Modified	7/6/2020 5:38:39 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	7/6/2020 5:11:32 PM
Type	Unknown
Level	1
Sample Name	MaACR-1
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	2
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jindra\July 2020\MaACR-1.gcd
Method File	C:\GCsolution\Data\Pfleger\Jindra\July 2020\20170201_Stabilwax60-trunc.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jindra\July 2020\20171213_multifors2.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	149
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.121	1.019	1.167	719375671	361974160	0.02	0.00000	   			0.000	7079.887	0.000	1.114	0.000	0.000
2	1.193	1.167	1.241	139495577	87202672	0.02	0.00000	 V 			0.064	13870.540	0.000	0.000	1.536	0.000
3	1.257	1.241	2.280	3624164	2034650	0.02	0.00000	SV 			0.122	11606.027	0.000	0.000	1.486	1.900
4	1.425	1.400	1.513	22117	9382	0.02	0.00000	T  			0.272	8294.874	0.000	1.921	3.085	2.232
5	1.652	1.615	1.680	1246	528	0.02	0.00000	T  			0.474	0.000	0.000	0.000	0.000	1.745
6	1.700	1.680	1.748	1179	457	0.03	0.00000	TV 			0.517	0.000	0.000	0.000	0.000	1.090
7	1.828	1.800	1.833	1959	1664	0.01	0.00000	T  			0.631	0.000	0.000	0.000	0.000	1.222
8	1.879	1.833	2.092	33407	7596	0.04	0.00000	TV 			0.677	5773.925	0.000	0.000	0.000	1.071
9	2.125	2.092	2.191	3457	1284	0.03	0.00000	TV 			0.896	13124.750	0.000	1.670	2.855	1.325
10	2.739	2.669	2.825	36862	13543	0.03	0.00000	   			1.444	21937.513	0.000	1.439	8.309	1.611
11	2.882	2.828	3.128	20134	3328	0.06	0.00000	   			1.571	7361.620	0.000	3.089	1.369	1.088
12	3.487	3.443	3.567	1414	509	0.03	0.00000	   			2.111	34732.359	0.000	1.310	5.799	1.344
13	5.088	5.001	5.336	46375	5344	0.09	0.00000	   			3.540	11789.197	0.000	0.000	12.246	1.677
14	6.660	6.583	6.840	7148	1646	0.04	0.00000	   			4.943	59595.394	0.000	1.425	10.630	1.396
15	7.057	6.979	7.143	1322	206	0.06	0.00000	 V 			5.297	22944.975	0.000	0.000	2.689	1.072
16	7.462	7.352	7.513	3906	606	0.06	0.00000	   			5.658	24493.629	0.000	0.000	2.154	1.068
17	7.930	7.785	8.009	11637	1358	0.09	0.00000	   			6.076	0.000	0.000	0.000	0.000	1.074
18	8.017	8.009	8.029	1034	872	0.01	0.00000	 V 			6.154	0.000	0.000	0.000	0.000	1.013
19	8.055	8.029	8.061	1575	815	0.02	0.00000	 V 			6.187	0.000	0.000	0.000	0.000	1.005
20	8.102	8.061	8.120	2719	774	0.04	0.00000	 V 			6.229	0.000	0.000	0.000	0.000	1.007
21	8.135	8.120	8.241	3616	684	0.05	0.00000	 V 			6.259	0.000	0.000	0.000	0.000	1.005
22	8.685	8.636	8.699	1134	341	0.03	0.00000	 V 			6.750	0.000	0.000	0.000	0.000	1.078
23	8.880	8.847	8.892	1460	570	0.03	0.00000	 V 			6.924	0.000	0.000	0.000	0.000	1.026
24	8.971	8.932	9.004	2989	714	0.04	0.00000	 V 			7.004	0.000	0.000	0.000	0.000	1.012
25	9.043	9.004	9.051	2050	760	0.03	0.00000	 V 			7.069	0.000	0.000	0.000	0.000	1.009
26	9.087	9.071	9.093	1103	821	0.01	0.00000	 V 			7.108	0.000	0.000	0.000	0.000	1.006
27	9.146	9.093	9.175	4457	964	0.05	0.00000	 V 			7.161	0.000	0.000	0.000	0.000	1.007
28	9.236	9.175	9.241	3917	1004	0.04	0.00000	 V 			7.241	0.000	0.000	0.000	0.000	1.011
29	9.289	9.273	9.299	1589	1056	0.02	0.00000	 V 			7.289	0.000	0.000	0.000	0.000	1.007
30	9.313	9.299	9.335	2259	1051	0.02	0.00000	 V 			7.310	0.000	0.000	0.000	0.000	1.003
31	9.346	9.335	9.353	1174	1059	0.01	0.00000	 V 			7.339	0.000	0.000	0.000	0.000	1.004
32	9.384	9.353	9.393	2578	1089	0.02	0.00000	 V 			7.373	0.000	0.000	0.000	0.000	1.005
33	9.400	9.393	9.411	1132	1095	0.01	0.00000	 V 			7.388	0.000	0.000	0.000	0.000	1.002
34	9.418	9.411	9.428	1125	1088	0.01	0.00000	 V 			7.404	0.000	0.000	0.000	0.000	1.002
35	9.459	9.428	9.477	3243	1114	0.03	0.00000	 V 			7.440	0.000	0.000	0.000	0.000	1.005
36	9.504	9.489	9.517	1910	1150	0.02	0.00000	 V 			7.481	0.000	0.000	0.000	0.000	1.005
37	9.538	9.517	9.563	3107	1152	0.03	0.00000	 V 			7.511	0.000	0.000	0.000	0.000	1.004
