[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\Sc1-3_1.gcd
Output Date	3/4/2020
Output Time	9:40:54 PM

[File Information]
Type	Data File
Generated	2/10/2020 4:00:48 PM
Generated by	Admin
Modified	3/4/2020 6:00:36 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	2/10/2020 4:04:53 PM
Type	Unknown
Level	1
Sample Name	Sc1-3
Sample ID	UNK-0001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	9
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\Sc1-3_1.gcd
Method File	C:\GCsolution\Data\Pfleger\Bothfeld\20190829\Agilent_FatWaxUI_method2_trunc.gcm
Batch File	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\20200210.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	140
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.475	1.307	1.527	10896869	4293161	0.03	0.00000	   			0.000	8242.083	0.000	0.000	0.000	0.000
2	1.556	1.527	1.979	194359850	40389706	0.05	0.00000	SV 			0.055	2472.497	0.000	3.229	0.853	0.000
3	1.788	1.765	1.858	18369	7135	0.03	0.00000	T  			0.212	9903.362	0.000	1.737	2.363	3.869
4	2.060	1.979	3.711	17344050	4266317	0.04	0.00000	SV 			0.397	5947.696	0.000	1.201	3.051	1.869
5	2.415	2.348	2.572	201971	63996	0.03	0.00000	T  			0.637	13987.495	0.000	1.158	3.774	1.606
6	2.696	2.637	2.791	6415	1874	0.03	0.00000	T  			0.828	14081.955	0.000	1.140	3.268	1.299
7	2.887	2.833	2.922	4033	1499	0.03	0.00000	T  			0.957	23801.085	0.000	0.000	2.309	1.156
8	2.962	2.922	3.020	8303	2564	0.03	0.00000	TV 			1.008	19285.174	0.000	0.000	0.933	1.053
9	3.102	3.020	3.300	25639	5738	0.04	0.00000	TV 			1.102	18900.921	0.000	0.000	1.596	1.094
10	3.420	3.361	3.561	1237	163	0.08	0.00000	TV 	15	Xylose	1.318	4952.352	0.000	0.000	2.246	1.196
11	3.867	3.781	3.925	2236	605	0.04	0.00000	   	23	Lactic Acid	1.621	28025.864	0.000	0.000	3.122	1.230
12	4.000	3.925	4.271	235752	82571	0.03	0.00000	SV 	23	Lactic Acid	1.712	47143.586	0.000	1.042	1.613	1.056
13	4.326	4.271	4.527	1719	350	0.05	0.00000	   			1.933	36434.066	0.000	2.413	3.977	1.129
14	4.689	4.639	4.770	4535	1481	0.03	0.00000	 V 			2.178	61053.325	0.000	0.000	4.365	1.127
15	4.821	4.770	4.938	1756	285	0.06	0.00000	 V 	1	Acetate_Sugars	2.267	10043.295	0.000	0.000	0.983	1.041
16	4.977	4.938	5.031	1057	397	0.03	0.00000	   	1	Acetate_Sugars	2.374	80593.241	0.000	0.000	1.198	1.047
17	5.166	5.115	5.208	1322	474	0.03	0.00000	   	2	Sugars	2.502	75237.829	0.000	0.000	2.608	1.054
18	5.264	5.208	5.316	18810	6994	0.03	0.00000	 V 	2	Sugars	2.568	88997.017	0.000	0.000	1.343	1.026
19	5.344	5.316	5.400	3405	1260	0.03	0.00000	 V 	2	Sugars	2.622	79716.321	0.000	0.000	1.094	1.021
20	5.441	5.400	5.498	2502	941	0.03	0.00000	 V 	3	Propionate_Sugars	2.688	93260.532	0.000	0.000	1.319	1.025
21	5.553	5.503	5.657	1612	429	0.04	0.00000	   	3	Propionate_Sugars	2.764	62250.056	0.000	1.476	1.402	1.028
22	5.983	5.876	6.063	4756	1518	0.03	0.00000	 V 	4	Isobutyrate	3.055	102504.959	0.000	0.939	5.266	1.105
23	6.447	6.403	6.534	1178	376	0.03	0.00000	 V 	5	Butyrate	3.370	104919.283	0.000	0.000	6.035	1.103
24	6.875	6.767	6.968	255307	89651	0.03	0.00000	   	6	Isovalerate	3.660	136693.944	0.000	0.934	5.567	1.086
25	7.108	7.047	7.173	1069	256	0.04	0.00000	   	7	n-Valerate	3.818	62132.582	0.000	0.000	2.479	1.043
26	8.022	7.952	8.120	2734	741	0.04	0.00000	   	9	n-Caproic_Sugars	4.437	118784.596	0.000	0.000	8.848	1.162
27	8.175	8.120	8.261	1337	395	0.03	0.00000	 V 	19	Xylose	4.541	136580.519	0.000	0.000	1.694	1.023
28	8.473	8.363	8.578	2863	747	0.04	0.00000	   	19	Xylose	4.743	124140.568	0.000	0.887	3.230	1.044
29	9.193	9.031	9.283	952920	257644	0.04	0.00000	   	20	Xylose	5.231	145279.531	0.000	0.720	7.494	1.103
30	9.527	9.376	9.628	159841	58048	0.03	0.00000	 V 	24	Lactic Acid	5.457	283464.656	0.000	0.963	3.988	1.043
31	9.682	9.628	9.745	1186	377	0.03	0.00000	 V 	24	Lactic Acid	5.563	221848.158	0.000	0.000	2.024	1.019
32	10.058	10.006	10.123	3474	1256	0.03	0.00000	 V 	12	Sugars	5.817	358897.953	0.000	0.000	5.046	1.046
33	10.384	10.267	10.440	1718	441	0.04	0.00000	   	25	Lactic Acid	6.038	136103.767	0.000	0.702	3.638	1.038
34	10.605	10.538	10.725	414101	197630	0.02	0.00000	   	13	Sugars	6.188	627884.802	0.000	0.943	2.663	1.025
35	10.887	10.790	10.967	264680	133619	0.02	0.00000	 V 	13	Sugars	6.379	732795.516	0.000	0.996	5.416	1.031
36	11.063	11.014	11.149	30679	15709	0.02	0.00000	   	13	Sugars	6.499	770398.571	0.000	1.145	3.492	1.019
37	11.314	11.280	11.350	2307	1075	0.02	0.00000	   	14	Sugars	6.669	649907.260	0.000	0.000	4.728	1.026
38	11.452	11.392	11.495	8940	4451	0.02	0.00000	 V 	14	Sugars	6.762	850169.760	0.000	0.000	2.609	1.014
39	11.518	11.495	11.546	2003	959	0.02	0.00000	 V 	14	Sugars	6.807	601063.358	0.000	0.000	1.207	1.007
40	11.571	11.546	11.597	1758	759	0.02	0.00000	 V 	14	Sugars	6.843	350019.057	0.000	0.000	0.776	1.005
41	11.618	11.597	11.653	1533	725	0.02	0.00000	 V 	14	Sugars	6.875	597863.025	0.000	0.000	0.688	1.005
42	11.702	11.653	11.779	365538	207616	0.02	0.00000	 V 	14	Sugars	6.931	1076130.709	0.000	1.043	1.587	1.008
43	11.850	11.826	11.910	1669	746	0.02	0.00000	 V 	14	Sugars	7.032	1024890.822	0.000	0.000	3.231	1.014
44	11.968	11.910	12.176	1000463	512560	0.02	0.00000	S  	21	Xylose	7.112	1036583.213	0.000	1.246	2.519	1.011
45	12.229	12.176	12.316	111507	63336	0.02	0.00000	 V 	21	Xylose	7.289	1265918.674	0.000	1.268	5.803	1.025
46	12.350	12.316	12.386	5320	1982	0.03	0.00000	 V 	21	Xylose	7.371	357719.824	0.000	0.000	1.912	1.011
47	12.406	12.386	12.432	3354	1628	0.02	0.00000	 V 	21	Xylose	7.409	0.000	0.000	0.000	0.000	1.005
48	12.451	12.432	12.479	2532	1245	0.02	0.00000	 V 	21	Xylose	7.439	0.000	0.000	0.000	0.000	1.004
49	12.523	12.479	12.563	4809	1556	0.03	0.00000	 V 	21	Xylose	7.488	334269.429	0.000	0.000	0.000	1.007
50	12.587	12.563	12.633	1584	748	0.02	0.00000	 V 	21	Xylose	7.531	729590.576	0.000	0.000	0.870	1.006
51	12.659	12.633	12.689	609	360	0.02	0.00000	 V 	21	Xylose	7.580	1323482.444	0.000	0.000	1.414	1.007
52	12.727	12.689	12.773	1509	610	0.02	0.00000	 V 	21	Xylose	7.627	556682.816	0.000	0.000	1.217	1.006
53	12.864	12.829	12.937	58229	32691	0.02	0.00000	   	21	Xylose	7.719	1413461.093	0.000	1.434	2.450	1.012
54	12.960	12.937	12.993	1543	858	0.02	0.00000	 V 	21	Xylose	7.784	1343583.651	0.000	0.000	2.201	1.008
55	13.039	12.993	13.072	1029	265	0.04	0.00000	 V 	21	Xylose	7.838	0.000	0.000	0.000	0.000	1.007
56	13.156	13.100	13.226	6889	2599	0.03	0.00000	   			7.918	890431.413	0.000	0.000	0.000	1.010
57	13.249	13.226	13.287	1275	712	0.02	0.00000	 V 			7.981	1303313.719	0.000	0.000	1.824	1.008
58	13.325	13.287	13.347	483	286	0.02	0.00000	   			8.032	1605776.516	0.000	0.745	1.710	1.006
59	13.413	13.375	13.473	3065	1559	0.02	0.00000	   			8.091	1394528.277	0.000	1.363	2.010	1.007
60	13.575	13.548	13.618	15171	8870	0.02	0.00000	   			8.201	1609782.786	0.000	1.233	3.693	1.014
61	13.748	13.720	13.795	8665	5389	0.02	0.00000	   			8.318	1756272.269	0.000	1.237	4.105	1.014
62	13.891	13.795	13.945	11251	4611	0.02	0.00000	   			8.416	1501490.807	0.000	0.000	3.321	1.012
63	13.987	13.945	14.099	141576	76347	0.02	0.00000	 V 			8.481	1658127.572	0.000	1.428	2.161	1.008
64	14.130	14.099	14.164	21410	10238	0.02	0.00000	 V 			8.577	1291336.331	0.000	0.000	3.072	1.011
65	14.190	14.164	14.243	54353	31711	0.02	0.00000	 V 			8.618	1963816.482	0.000	0.000	1.335	1.005
66	14.262	14.243	14.281	5056	2300	0.02	0.00000	 V 			8.667	0.000	0.000	0.000	0.000	1.006
67	14.368	14.281	14.393	22110	5072	0.04	0.00000	 V 			8.739	0.000	0.000	0.000	0.000	1.008
68	14.422	14.393	14.472	22209	5730	0.04	0.00000	 V 			8.775	0.000	0.000	0.000	0.000	1.004
69	14.501	14.472	14.519	13248	5069	0.03	0.00000	 V 			8.829	0.000	0.000	0.000	0.000	1.006
70	14.624	14.519	14.640	45432	9082	0.05	0.00000	 V 			8.912	0.000	0.000	0.000	0.000	1.009
71	14.656	14.640	14.687	22033	10227	0.02	0.00000	 V 			8.934	0.000	0.000	0.000	0.000	1.002
72	14.747	14.687	14.794	47590	12412	0.04	0.00000	 V 			8.995	515364.325	0.000	0.000	0.000	1.007
73	14.846	14.794	14.953	186672	50051	0.04	0.00000	 V 			9.063	451305.829	0.000	0.000	1.171	1.008
74	14.987	14.953	15.051	66335	18172	0.04	0.00000	 V 			9.158	380766.942	0.000	0.000	1.520	1.011
75	15.085	15.051	15.125	46669	15900	0.03	0.00000	 V 			9.225	499293.706	0.000	0.000	1.081	1.007
76	15.156	15.125	15.186	31328	10025	0.03	0.00000	 V 			9.273	0.000	0.000	0.000	0.000	1.005
77	15.202	15.186	15.228	19423	8007	0.02	0.00000	 V 			9.304	0.000	0.000	0.000	0.000	1.003
78	15.253	15.228	15.284	25586	7883	0.03	0.00000	 V 			9.338	0.000	0.000	0.000	0.000	1.004
79	15.310	15.284	15.349	33225	9923	0.03	0.00000	 V 			9.377	0.000	0.000	0.000	0.000	1.004
80	15.406	15.349	15.480	60578	8383	0.07	0.00000	 V 			9.442	0.000	0.000	0.000	0.000	1.007
81	15.520	15.480	15.569	133945	64448	0.02	0.00000	 V 			9.519	1681945.928	0.000	0.000	0.000	1.008
82	15.595	15.569	15.657	44954	10363	0.04	0.00000	 V 			9.570	0.000	0.000	0.000	0.000	1.005
83	15.689	15.657	15.755	44456	8142	0.05	0.00000	 V 			9.634	0.000	0.000	0.000	0.000	1.007
84	15.802	15.755	15.872	106061	34801	0.03	0.00000	 V 			9.711	1077336.107	0.000	0.000	0.000	1.008
85	15.891	15.872	15.909	18101	8272	0.02	0.00000	 V 			9.771	0.000	0.000	0.000	0.000	1.006
86	15.934	15.909	15.998	39792	8386	0.05	0.00000	 V 			9.800	0.000	0.000	0.000	0.000	1.003
87	16.018	15.998	16.040	16257	6533	0.02	0.00000	 V 			9.857	0.000	0.000	0.000	0.000	1.006
88	16.068	16.040	16.105	25656	6716	0.04	0.00000	 V 			9.891	0.000	0.000	0.000	0.000	1.003
89	16.188	16.105	16.236	53823	7945	0.07	0.00000	 V 			9.972	0.000	0.000	0.000	0.000	1.008
