[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\WT-3_1.gcd
Output Date	3/4/2020
Output Time	9:40:59 PM

[File Information]
Type	Data File
Generated	2/10/2020 7:05:57 PM
Generated by	Admin
Modified	3/4/2020 6:02:48 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	2/10/2020 7:10:03 PM
Type	Unknown
Level	1
Sample Name	WT-3
Sample ID	UNK-0001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	15
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\WT-3_1.gcd
Method File	C:\GCsolution\Data\Pfleger\Bothfeld\20190829\Agilent_FatWaxUI_method2_trunc.gcm
Batch File	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\20200210.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	114
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.495	1.344	1.545	1990851	498949	0.04	0.00000	   			0.000	2357.045	0.000	0.000	0.000	0.000
2	1.606	1.545	2.791	59225643	13755591	0.04	0.00000	SV 			0.074	2996.987	0.000	1.314	0.919	0.000
3	1.802	1.773	1.867	4443	1434	0.03	0.00000	T  			0.205	6710.328	0.000	1.466	1.920	2.784
4	2.072	1.988	2.268	992642	269397	0.04	0.00000	T  			0.385	7321.935	0.000	0.920	2.923	1.878
5	2.420	2.343	2.585	91334	29136	0.03	0.00000	T  			0.619	14903.300	0.000	0.895	3.971	1.605
6	2.703	2.595	2.777	3220	959	0.03	0.00000	T  			0.808	15372.668	0.000	0.898	3.405	1.306
7	2.889	2.823	2.926	2013	735	0.03	0.00000	   			0.932	27112.207	0.000	0.000	2.370	1.154
8	2.967	2.926	3.015	2947	977	0.03	0.00000	 V 			0.984	22103.595	0.000	0.000	1.035	1.056
9	3.108	3.015	3.155	8768	2374	0.04	0.00000	 V 			1.078	20476.179	0.000	0.000	1.696	1.096
10	3.174	3.155	3.225	1514	574	0.03	0.00000	 V 			1.123	0.000	0.000	0.000	0.000	1.041
11	4.001	3.920	4.069	116361	41545	0.03	0.00000	 V 	23	Lactic Acid	1.676	50280.425	0.000	0.891	0.000	1.492
12	4.084	4.069	4.158	1512	380	0.04	0.00000	 V 			1.731	0.000	0.000	0.000	0.000	1.033
13	4.688	4.653	4.732	1147	464	0.02	0.00000	 V 			2.135	80592.831	0.000	0.000	0.000	1.233
14	5.264	5.203	5.311	13635	5035	0.03	0.00000	 V 	2	Sugars	2.520	93068.286	0.000	0.000	8.560	1.181
15	5.344	5.311	5.399	5906	2275	0.03	0.00000	 V 	2	Sugars	2.574	93595.058	0.000	0.000	1.153	1.021
16	5.441	5.399	5.502	1337	502	0.03	0.00000	 V 	3	Propionate_Sugars	2.638	94837.637	0.000	0.000	1.376	1.025
17	5.982	5.871	6.053	3776	1317	0.03	0.00000	 V 	4	Isobutyrate	3.000	113750.931	0.000	0.968	7.671	1.137
18	6.869	6.771	6.958	134092	46880	0.03	0.00000	   	6	Isovalerate	3.594	136057.858	0.000	0.928	12.227	1.198
19	8.017	7.947	8.083	1903	573	0.03	0.00000	   	9	n-Caproic_Sugars	4.361	137718.201	0.000	0.000	14.308	1.214
20	8.174	8.083	8.260	1070	281	0.04	0.00000	 V 	19	Xylose	4.466	135314.325	0.000	0.000	1.788	1.024
21	8.469	8.367	8.554	1293	338	0.04	0.00000	   	19	Xylose	4.663	126790.169	0.000	0.883	3.221	1.044
22	9.178	9.021	9.273	660970	187703	0.04	0.00000	   	11	Sugars	5.137	163740.699	0.000	0.751	7.642	1.102
23	9.524	9.380	9.613	162547	57845	0.03	0.00000	 V 	24	Lactic Acid	5.369	272005.217	0.000	0.928	4.246	1.045
24	9.673	9.613	9.749	1528	431	0.04	0.00000	 V 	24	Lactic Acid	5.468	171760.312	0.000	0.000	1.787	1.018
25	9.860	9.749	9.921	1021	279	0.04	0.00000	   	12	Sugars	5.593	134628.848	0.000	0.794	1.871	1.023
26	10.056	10.005	10.117	2184	848	0.03	0.00000	 V 	12	Sugars	5.725	385599.289	0.000	0.000	2.283	1.023
27	10.599	10.537	10.724	247260	119487	0.02	0.00000	   	13	Sugars	6.088	634621.001	0.000	0.985	9.232	1.063
28	10.881	10.808	10.962	135342	67497	0.02	0.00000	 V 	13	Sugars	6.276	695897.627	0.000	1.046	5.354	1.031
29	11.061	11.004	11.200	45193	22759	0.02	0.00000	   	13	Sugars	6.397	758174.652	0.000	1.142	3.514	1.019
30	11.310	11.270	11.387	6207	2849	0.02	0.00000	   	14	Sugars	6.563	782148.440	0.000	0.000	4.890	1.026
31	11.451	11.387	11.499	10390	5239	0.02	0.00000	 V 	14	Sugars	6.657	882978.230	0.000	0.000	2.837	1.014
32	11.570	11.541	11.597	1113	420	0.03	0.00000	 V 	14	Sugars	6.737	0.000	0.000	0.000	0.000	1.012
33	11.698	11.648	11.774	227649	131259	0.02	0.00000	 V 	14	Sugars	6.822	1105804.058	0.000	1.085	0.000	1.013
34	11.961	11.914	11.998	591155	327021	0.02	0.00000	   	21	Xylose	6.998	1100745.762	0.000	0.000	5.853	1.026
35	12.005	11.998	12.049	32565	22482	0.01	0.00000	   	21	Xylose	7.028	0.000	0.000	0.000	0.000	1.004
36	12.228	12.175	12.315	103346	59794	0.02	0.00000	 V 	21	Xylose	7.177	1242922.264	0.000	1.216	0.000	1.021
37	12.345	12.315	12.381	1626	629	0.03	0.00000	 V 	21	Xylose	7.255	376843.728	0.000	0.000	1.883	1.011
38	12.405	12.381	12.460	1919	932	0.02	0.00000	 V 	21	Xylose	7.295	894773.957	0.000	0.000	0.902	1.006
39	12.525	12.460	12.567	3009	1236	0.02	0.00000	 V 	21	Xylose	7.375	874913.319	0.000	0.000	2.267	1.011
40	12.862	12.829	12.936	27924	15264	0.02	0.00000	   	21	Xylose	7.601	1428041.980	0.000	1.532	7.000	1.031
41	12.961	12.936	12.987	1161	575	0.02	0.00000	 V 	21	Xylose	7.667	794852.995	0.000	0.000	1.955	1.009
42	13.040	12.987	13.067	1105	247	0.04	0.00000	 V 	21	Xylose	7.720	0.000	0.000	0.000	0.000	1.007
43	13.153	13.067	13.230	10500	4749	0.02	0.00000	 V 			7.795	1387361.742	0.000	1.176	0.000	1.010
44	13.248	13.230	13.281	326	155	0.02	0.00000	 V 			7.859	0.000	0.000	0.000	0.000	1.008
45	13.324	13.286	13.342	237	138	0.02	0.00000	   			7.910	1456811.656	0.000	0.714	0.000	1.007
46	13.413	13.379	13.440	1034	631	0.02	0.00000	   			7.969	1673998.169	0.000	0.869	2.070	1.007
47	13.575	13.547	13.608	5526	3416	0.02	0.00000	   			8.078	1705511.925	0.000	1.120	3.928	1.014
48	13.747	13.725	13.790	7901	5022	0.02	0.00000	   			8.193	1822706.226	0.000	1.264	4.187	1.014
49	13.830	13.795	13.846	1449	888	0.02	0.00000	   			8.248	0.000	0.000	0.000	0.000	1.007
50	13.888	13.846	13.935	5114	2007	0.03	0.00000	 V 			8.287	1139925.570	0.000	0.000	0.000	1.005
51	13.988	13.935	14.093	200574	115070	0.02	0.00000	 V 			8.353	1736557.623	0.000	1.319	2.111	1.008
52	14.130	14.093	14.168	35753	17982	0.02	0.00000	 V 			8.449	1480421.313	0.000	0.000	3.205	1.011
53	14.189	14.168	14.243	26045	13487	0.02	0.00000	 V 			8.488	1701977.508	0.000	0.000	1.331	1.005
