[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jindra\2-25-20\FAOH-500.gcd
Output Date	2/26/2020
Output Time	1:13:20 PM

[File Information]
Type	Data File
Generated	2/26/2020 12:49:58 AM
Generated by	Admin
Modified	2/26/2020 1:16:16 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	2/26/2020 12:53:43 AM
Type	Unknown
Level	1
Sample Name	FAOH-500
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	7
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jindra\2-25-20\FAOH-500.gcd
Method File	C:\GCsolution\Data\Pfleger\Jindra\2-7-20\Agilent_FatWaxUI_method2_trunc.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jindra\2-25-20\2-25-20-FaOH.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	87
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.388	1.288	2.362	1249920994	345256842	0.04	0.00000	S  			0.000	3931.937	0.000	1.526	0.000	0.000
2	1.806	1.736	1.937	779897	207519	0.04	0.00000	T  			0.301	5649.271	0.000	1.179	4.537	0.000
3	2.017	1.984	2.058	2302	973	0.02	0.00000	T  			0.453	14059.052	0.000	1.071	2.570	1.503
4	2.133	2.058	2.352	949051	250820	0.04	0.00000	T  			0.536	7935.135	0.000	1.226	1.419	1.184
5	2.654	2.567	3.276	1056289	275065	0.04	0.00000	S  			0.912	12154.375	0.000	1.344	5.446	1.701
6	3.456	3.356	4.177	1177901	294663	0.04	0.00000	S  	15	Xylose	1.489	19606.177	0.000	1.400	8.247	1.634
7	4.590	4.485	5.470	1232414	298593	0.04	0.00000	S  			2.306	33364.572	0.000	1.363	11.412	1.548
8	5.031	4.980	5.054	1630	621	0.03	0.00000	T  	2	Sugars	2.623	0.000	0.000	0.000	0.000	1.138
9	5.095	5.054	5.124	3799	1125	0.03	0.00000	TV 	2	Sugars	2.670	0.000	0.000	0.000	0.000	1.018
10	5.152	5.124	5.264	4880	1427	0.03	0.00000	TV 	2	Sugars	2.710	0.000	0.000	0.000	0.000	1.015
11	6.039	5.913	7.145	1323017	305644	0.04	0.00000	S  	16	Xylose	3.350	52309.904	0.000	1.251	0.000	1.236
12	6.461	6.403	6.618	4066	838	0.05	0.00000	T  	5	Butyrate	3.653	42462.055	0.000	1.697	3.662	1.091
13	7.267	7.178	7.369	1140	241	0.05	0.00000	   	7	n-Valerate	4.234	52109.128	0.000	1.097	6.397	1.159
14	7.979	7.817	9.040	1295064	238402	0.05	0.00000	S  	9	n-Caproic_Sugars	4.746	56699.102	0.000	1.098	5.457	1.121
15	8.693	8.624	8.760	1325	305	0.04	0.00000	T  	10	Heptanoic	5.261	84869.356	0.000	0.000	5.653	1.108
16	8.872	8.760	9.021	4614	712	0.06	0.00000	TV 	10	Heptanoic	5.390	39999.596	0.000	0.000	1.213	1.025
17	10.062	9.987	10.113	1896	456	0.04	0.00000	   	12	Sugars	6.247	110237.856	0.000	0.000	7.990	1.159
18	10.215	10.113	11.448	1342950	368518	0.04	0.00000	SV 	12	Sugars	6.357	201845.808	0.000	0.987	1.443	1.018
19	10.546	10.500	10.622	2442	761	0.03	0.00000	T  	25	Lactic Acid	6.595	226390.366	0.000	1.240	3.689	1.037
20	10.709	10.678	10.766	1612	683	0.02	0.00000	TV 	13	Sugars	6.713	488861.965	0.000	0.000	2.185	1.018
21	10.969	10.864	11.046	4140	882	0.05	0.00000	T  	13	Sugars	6.900	98124.350	0.000	0.848	2.586	1.028
22	11.104	11.051	11.205	2897	754	0.04	0.00000	T  	14	Sugars	6.998	163352.570	0.000	1.565	1.089	1.014
23	11.527	11.448	12.390	1417179	520412	0.03	0.00000	S  	14	Sugars	7.302	452121.618	0.000	0.980	4.750	1.044
24	11.845	11.816	11.896	2447	1361	0.02	0.00000	T  	14	Sugars	7.531	991389.414	0.000	1.188	5.485	1.031
25	12.095	12.064	12.166	1723	681	0.03	0.00000	TV 	21	Xylose	7.712	620206.089	0.000	0.000	4.611	1.024
26	12.344	12.250	12.390	1119	384	0.03	0.00000	T  	21	Xylose	7.891	676206.502	0.000	0.735	4.110	1.023
