[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\Rec-1_1.gcd
Output Date	3/4/2020
Output Time	9:40:59 PM

[File Information]
Type	Data File
Generated	2/10/2020 7:32:36 PM
Generated by	Admin
Modified	3/4/2020 5:42:32 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	2/10/2020 7:36:28 PM
Type	Unknown
Level	1
Sample Name	Rec-1
Sample ID	UNK-0001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	16
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\Rec-1_1.gcd
Method File	C:\GCsolution\Data\Pfleger\Bothfeld\20190829\Agilent_FatWaxUI_method2_trunc.gcm
Batch File	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\20200210.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	145
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.474	1.302	1.526	14642710	5653964	0.03	0.00000	   			0.000	8075.566	0.000	0.000	0.000	0.000
2	1.554	1.526	1.979	202970618	41577260	0.05	0.00000	SV 			0.055	2376.821	0.000	3.239	0.835	0.000
3	1.786	1.760	1.867	16977	4969	0.03	0.00000	T  			0.212	5541.244	0.000	1.814	2.079	3.880
4	2.061	1.979	6.669	62354833	15200377	0.04	0.00000	SV 			0.398	5825.259	0.000	1.148	2.703	1.881
5	2.417	2.348	2.558	197372	63522	0.03	0.00000	T  			0.640	14420.876	0.000	1.130	3.787	1.606
6	2.889	2.796	2.982	10380	3720	0.03	0.00000	T  			0.960	25260.712	0.000	1.146	6.182	1.501
7	3.060	2.982	3.136	197184	66097	0.03	0.00000	TV 			1.076	24652.652	0.000	1.078	2.272	1.121
8	3.171	3.136	3.300	10309	2623	0.04	0.00000	TV 			1.152	21168.068	0.000	0.000	1.353	1.070
9	3.332	3.300	3.365	1116	306	0.04	0.00000	TV 	15	Xylose	1.261	0.000	0.000	0.000	0.000	1.095
10	3.445	3.365	3.575	5173	728	0.07	0.00000	TV 	15	Xylose	1.338	6388.962	0.000	0.000	0.000	1.061
11	3.660	3.575	3.790	2774	375	0.07	0.00000	TV 	22	Lactic Acid	1.484	7028.623	0.000	0.000	1.244	1.109
12	3.870	3.790	3.920	3314	795	0.04	0.00000	TV 	23	Lactic Acid	1.626	21441.611	0.000	0.000	1.496	1.096
