[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\Sc1-2.gcd
Output Date	3/4/2020
Output Time	9:40:54 PM

[File Information]
Type	Data File
Generated	2/10/2020 3:34:10 PM
Generated by	Admin
Modified	3/4/2020 6:00:08 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	2/10/2020 3:38:14 PM
Type	Unknown
Level	1
Sample Name	Sc1-2
Sample ID	UNK-0001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	8
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\Sc1-2_1.gcd
Method File	C:\GCsolution\Data\Pfleger\Bothfeld\20190829\Agilent_FatWaxUI_method2_trunc.gcm
Batch File	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\20200210.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	132
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.475	1.317	1.527	7871447	3098088	0.03	0.00000	   			0.000	8235.650	0.000	0.000	0.000	0.000
2	1.555	1.527	2.833	195777197	40599709	0.05	0.00000	SV 			0.054	2457.549	0.000	3.259	0.842	0.000
3	1.790	1.769	1.863	10939	4016	0.03	0.00000	T  			0.213	8634.057	0.000	1.848	2.325	3.936
4	2.064	1.970	2.264	2242336	538034	0.04	0.00000	T  			0.399	5657.781	0.000	1.181	2.937	1.869
5	2.415	2.348	2.576	195188	61096	0.03	0.00000	T  			0.637	13745.834	0.000	1.155	3.665	1.597
6	2.697	2.628	2.796	8729	2473	0.04	0.00000	TV 			0.828	13496.194	0.000	1.109	3.221	1.300
7	2.887	2.833	2.922	3874	1453	0.03	0.00000	   			0.957	24842.380	0.000	0.000	2.302	1.156
8	2.962	2.922	3.020	6998	2183	0.03	0.00000	 V 			1.007	19582.449	0.000	0.000	0.946	1.053
9	3.102	3.020	3.295	22971	5275	0.04	0.00000	 V 			1.102	18607.951	0.000	0.000	1.596	1.094
10	3.459	3.374	3.575	1024	157	0.07	0.00000	   	15	Xylose	1.344	6392.898	0.000	1.170	2.713	1.220
11	3.867	3.781	3.925	2525	687	0.04	0.00000	   	23	Lactic Acid	1.621	27198.263	0.000	0.000	3.065	1.206
12	4.000	3.925	4.271	225484	78831	0.03	0.00000	SV 	23	Lactic Acid	1.711	46810.170	0.000	1.045	1.597	1.056
13	4.326	4.271	4.373	1397	420	0.03	0.00000	   			1.932	35278.833	0.000	0.000	3.941	1.129
14	4.688	4.639	4.765	4781	1555	0.03	0.00000	 V 			2.177	59763.724	0.000	0.000	4.290	1.127
15	4.976	4.938	5.040	1182	424	0.03	0.00000	   	1	Acetate_Sugars	2.373	79982.127	0.000	0.000	3.936	1.090
16	5.167	5.115	5.213	1778	622	0.03	0.00000	   	2	Sugars	2.502	75131.603	0.000	0.000	2.617	1.054
17	5.264	5.213	5.325	17820	6604	0.03	0.00000	 V 	2	Sugars	2.568	89354.660	0.000	1.095	1.340	1.026
18	5.440	5.395	5.498	2456	916	0.03	0.00000	 V 	3	Propionate_Sugars	2.687	91932.420	0.000	0.000	2.486	1.047
19	5.553	5.503	5.661	1687	423	0.04	0.00000	   	3	Propionate_Sugars	2.764	57342.111	0.000	0.000	1.374	1.028
20	5.982	5.880	6.058	4460	1367	0.03	0.00000	 V 	4	Isobutyrate	3.055	100194.581	0.000	0.884	5.111	1.105
21	6.351	6.305	6.408	1130	329	0.03	0.00000	 V 	5	Butyrate	3.304	79447.074	0.000	0.000	4.460	1.082
22	6.449	6.408	6.548	1211	366	0.03	0.00000	 V 	5	Butyrate	3.371	97940.351	0.000	0.000	1.136	1.020
23	6.874	6.772	6.982	240800	84531	0.03	0.00000	   	6	Isovalerate	3.659	135631.814	0.000	0.940	5.432	1.086
24	7.112	6.982	7.173	1360	266	0.05	0.00000	 V 	7	n-Valerate	3.820	49182.830	0.000	0.000	2.352	1.044
25	8.021	7.948	8.120	3429	962	0.04	0.00000	   	9	n-Caproic_Sugars	4.437	125625.910	0.000	0.000	8.331	1.161
26	8.175	8.120	8.256	1499	453	0.03	0.00000	 V 	19	Xylose	4.541	139859.921	0.000	0.000	1.731	1.023
27	8.474	8.363	8.578	2504	637	0.04	0.00000	   	19	Xylose	4.743	117372.047	0.000	0.877	3.216	1.045
28	9.193	9.026	9.283	983742	265848	0.04	0.00000	   	20	Xylose	5.231	145809.123	0.000	0.718	7.390	1.103
29	9.526	9.376	9.623	141917	51504	0.03	0.00000	 V 	24	Lactic Acid	5.456	282951.139	0.000	0.961	3.971	1.043
30	9.683	9.623	9.745	1018	332	0.03	0.00000	 V 	24	Lactic Acid	5.563	231527.148	0.000	0.000	2.076	1.020
31	10.057	10.001	10.118	3600	1255	0.03	0.00000	 V 	12	Sugars	5.816	350773.146	0.000	0.000	5.047	1.046
32	10.352	10.220	10.435	1036	289	0.04	0.00000	 V 	25	Lactic Acid	6.016	200723.710	0.000	1.079	3.689	1.034
33	10.604	10.538	10.720	417268	196315	0.02	0.00000	 V 	13	Sugars	6.187	607701.276	0.000	0.941	3.445	1.028
34	10.886	10.799	10.963	243711	121496	0.02	0.00000	 V 	13	Sugars	6.378	711110.387	0.000	0.997	5.325	1.031
35	11.062	11.009	11.145	30065	15245	0.02	0.00000	 V 	13	Sugars	6.497	763349.817	0.000	1.162	3.455	1.019
36	11.313	11.275	11.415	5444	1985	0.03	0.00000	   	14	Sugars	6.668	675475.914	0.000	0.000	4.775	1.026
37	11.451	11.415	11.499	8028	3979	0.02	0.00000	 V 	14	Sugars	6.761	820796.122	0.000	0.000	2.615	1.014
38	11.568	11.537	11.602	1854	698	0.03	0.00000	 V 	14	Sugars	6.841	393926.800	0.000	0.000	1.893	1.012
39	11.701	11.649	11.775	370073	206123	0.02	0.00000	 V 	14	Sugars	6.931	1035329.887	0.000	1.032	2.218	1.013
40	11.849	11.826	11.910	1345	641	0.02	0.00000	 V 	14	Sugars	7.031	1074862.028	0.000	0.000	3.234	1.014
41	11.967	11.910	12.181	1009674	506823	0.02	0.00000	S  	21	Xylose	7.111	1011976.279	0.000	1.280	2.543	1.011
42	12.102	12.078	12.139	1422	859	0.02	0.00000	T  	21	Xylose	7.203	1176096.195	0.000	1.097	2.942	1.013
43	12.229	12.181	12.316	117546	66181	0.02	0.00000	 V 	21	Xylose	7.288	1238226.424	0.000	1.259	2.862	1.012
44	12.347	12.316	12.386	9640	4056	0.02	0.00000	 V 	21	Xylose	7.368	625862.819	0.000	0.000	2.218	1.011
