[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Jindra\3-14-2020\Thio9.gcd
Output Date	3/15/2020
Output Time	1:50:18 PM

[File Information]
Type	Data File
Generated	3/15/2020 4:23:24 AM
Generated by	Admin
Modified	3/15/2020 4:55:54 AM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	3/15/2020 4:25:52 AM
Type	Unknown
Level	1
Sample Name	Thio9
Sample ID	
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	17
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Jindra\3-14-2020\Thio3.gcd
Method File	C:\GCsolution\Data\Pfleger\Jindra\3-14-2020\Agilent_FatWaxUI_method5_MAJ.gcm
Batch File	C:\GCsolution\Data\Pfleger\Jindra\3-14-2020\3-14-20.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	130
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.092	0.831	1.106	9467	2612	0.04	0.00000	   			0.000	0.000	0.000	0.000	0.000	0.000
2	1.190	1.106	1.246	21453788	6673001	0.03	0.00000	 V 			0.090	3181.054	0.000	0.000	0.000	0.000
3	1.286	1.246	1.741	420961995	85312049	0.05	0.00000	SV 			0.177	1721.189	0.000	3.294	0.921	1.977
4	1.546	1.517	1.648	36926	10274	0.04	0.00000	T  			0.416	3807.243	0.000	1.872	2.329	2.345
5	1.843	1.741	5.819	103847500	26896067	0.04	0.00000	SV 			0.687	5710.599	0.000	1.006	3.008	1.653
6	2.262	2.203	2.394	128645	50605	0.03	0.00000	T  			1.071	19820.257	0.000	1.256	5.193	1.558
7	2.540	2.455	2.702	12142	3926	0.03	0.00000	T  			1.326	17740.318	0.000	1.249	3.965	1.238
8	2.860	2.796	2.926	17005	6779	0.03	0.00000	T  			1.618	31428.636	0.000	1.183	4.554	1.221
9	2.981	2.926	3.136	161704	53024	0.03	287.85722	TV 	1	Acetic Acid	1.729	31572.500	0.000	1.628	1.844	1.068
10	3.404	3.262	3.467	1998	354	0.06	0.00000	TV 			2.117	6177.734	0.000	0.000	3.536	1.224
11	3.652	3.538	3.710	1014	297	0.03	0.00000	TV 			2.344	54279.705	0.000	0.000	2.108	1.107
12	3.847	3.729	3.943	15948	4747	0.03	0.00000	T  			2.523	33554.884	0.000	1.351	2.661	1.076
13	4.008	3.943	4.102	139667	58774	0.02	148.38114	TV 	2	Propionic	2.670	68164.770	0.000	1.092	2.218	1.058
