[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\FAME1000_1.gcd
Output Date	2/17/2020
Output Time	1:21:35 PM

[File Information]
Type	Data File
Generated	2/10/2020 8:51:51 PM
Generated by	Admin
Modified	2/10/2020 9:18:31 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	2/10/2020 8:55:58 PM
Type	Unknown
Level	1
Sample Name	FAME1000
Sample ID	UNK-0001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	19
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\FAME1000_1.gcd
Method File	C:\GCsolution\Data\Pfleger\Bothfeld\20190829\Agilent_FatWaxUI_method2_trunc.gcm
Batch File	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\20200210.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	82
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.371	1.284	1.410	9510	3322	0.03	0.00000	   			0.000	0.000	0.000	0.000	0.000	0.000
2	1.456	1.410	1.513	306563148	96805672	0.03	0.00000	 V 			0.061	3942.564	0.000	0.000	0.000	0.000
3	1.536	1.513	4.294	464938360	78292659	0.06	0.00000	SV 			0.120	1349.913	0.000	0.000	0.622	1.956
4	2.021	1.998	2.115	1793	289	0.06	0.00000	T  			0.474	3034.543	0.000	2.431	3.098	3.942
5	2.196	2.119	2.278	10849	2571	0.04	0.00000	T  			0.601	5390.664	0.000	0.910	1.315	1.269
6	2.406	2.315	2.525	351646	78087	0.05	0.00000	T  			0.755	5919.528	0.000	0.955	1.724	1.255
7	3.057	2.950	3.160	1632886	396976	0.04	0.00000	T  			1.229	11720.340	0.000	0.870	5.482	1.629
8	3.237	3.160	3.323	5451	616	0.09	0.00000	TV 	15	Xylose	1.361	0.000	0.000	0.000	0.000	1.107
9	3.417	3.323	3.547	7297	629	0.12	0.00000	TV 	15	Xylose	1.492	0.000	0.000	0.000	0.000	1.096
10	3.622	3.547	3.767	3873	385	0.10	0.00000	TV 	22	Lactic Acid	1.641	0.000	0.000	0.000	0.000	1.100
11	3.846	3.767	3.888	1421	215	0.07	0.00000	TV 	23	Lactic Acid	1.804	0.000	0.000	0.000	0.000	1.100
12	3.997	3.888	4.163	475846	130011	0.04	0.00000	TV 	23	Lactic Acid	1.914	26187.777	0.000	0.893	0.000	1.061
13	5.289	5.148	5.563	2067861	612897	0.03	0.00000	   	2	Sugars	2.857	57130.440	0.000	0.712	13.834	1.492
14	5.694	5.643	5.741	1940	548	0.04	0.00000	 V 	3	Propionate_Sugars	3.152	54318.527	0.000	0.000	4.356	1.103
15	5.776	5.741	5.825	1379	301	0.05	0.00000	 V 	4	Isobutyrate	3.212	0.000	0.000	0.000	0.000	1.019
16	5.873	5.825	5.932	1786	359	0.05	0.00000	 V 	4	Isobutyrate	3.283	0.000	0.000	0.000	0.000	1.022
17	5.973	5.932	6.063	1447	360	0.04	0.00000	 V 	4	Isobutyrate	3.356	0.000	0.000	0.000	0.000	1.022
18	6.857	6.777	6.940	2491	703	0.04	0.00000	   	6	Isovalerate	4.000	84707.974	0.000	0.988	0.000	1.192
19	9.224	9.017	9.437	2170879	462341	0.05	0.00000	   	20	Xylose	5.726	88445.863	0.000	0.641	21.746	1.432
20	9.976	9.922	10.029	2602	1058	0.02	0.00000	   	12	Sugars	6.274	381472.264	0.000	1.128	7.994	1.096
21	10.877	10.818	10.935	1464	696	0.02	0.00000	   	13	Sugars	6.931	624339.337	0.000	1.127	15.097	1.105
22	11.571	11.434	11.635	1276	173	0.07	0.00000	   	14	Sugars	7.437	45447.471	0.000	0.724	5.113	1.073
23	12.039	11.873	12.755	2197805	889243	0.02	0.00000	S  	21	Xylose	7.779	579197.604	0.000	0.781	3.349	1.046
24	12.258	12.171	12.321	7204	4109	0.02	0.00000	T  	21	Xylose	7.939	1220484.876	0.000	1.152	4.084	1.021
25	12.873	12.755	12.946	430842	257722	0.02	0.00000	   	21	Xylose	8.387	1486703.586	0.000	1.055	14.235	1.056
26	12.965	12.946	13.025	3133	700	0.04	0.00000	 V 	21	Xylose	8.454	0.000	0.000	0.000	0.000	1.008
27	13.042	13.025	13.067	1532	665	0.02	0.00000	 V 	21	Xylose	8.510	0.000	0.000	0.000	0.000	1.007
28	13.086	13.067	13.123	1645	546	0.03	0.00000	 V 			8.542	0.000	0.000	0.000	0.000	1.004
29	13.152	13.123	13.184	1867	610	0.03	0.00000	 V 			8.590	0.000	0.000	0.000	0.000	1.006
30	13.621	13.184	20.641	4017150	1426343	0.03	0.00000	SV 			8.932	731558.760	0.000	0.787	0.000	1.040
31	13.757	13.739	13.791	3970	3062	0.01	0.00000	T  			9.031	2454724.119	0.000	1.236	2.756	1.011
32	13.828	13.795	13.903	1906	638	0.03	0.00000	T  			9.083	536152.230	0.000	1.458	1.291	1.006
33	14.127	13.945	14.155	11350	1534	0.07	0.00000	T  			9.301	0.000	0.000	0.000	0.000	1.024
34	14.191	14.155	14.211	6112	2188	0.03	0.00000	TV 			9.348	0.000	0.000	0.000	0.000	1.005
35	14.224	14.211	14.243	3697	1919	0.02	0.00000	TV 			9.372	0.000	0.000	0.000	0.000	1.003
36	14.332	14.243	14.346	12453	2306	0.05	0.00000	TV 			9.451	0.000	0.000	0.000	0.000	1.008
37	14.650	14.346	14.691	74343	4814	0.15	0.00000	TV 			9.683	0.000	0.000	0.000	0.000	1.025
38	14.719	14.691	14.738	12185	4363	0.03	0.00000	TV 			9.733	0.000	0.000	0.000	0.000	1.005
39	14.752	14.738	14.789	13345	4359	0.03	0.00000	TV 			9.757	0.000	0.000	0.000	0.000	1.002
40	14.873	14.789	14.901	31260	5127	0.06	0.00000	TV 			9.845	0.000	0.000	0.000	0.000	1.009
41	14.985	14.901	15.060	50938	5968	0.09	0.00000	TV 			9.927	0.000	0.000	0.000	0.000	1.008
42	15.142	15.060	15.177	35947	5215	0.07	0.00000	TV 			10.042	0.000	0.000	0.000	0.000	1.012
