[Header]
Data File Name	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\Rec-3_1.gcd
Output Date	3/4/2020
Output Time	9:41:00 PM

[File Information]
Type	Data File
Generated	2/10/2020 8:25:28 PM
Generated by	Admin
Modified	3/4/2020 5:51:30 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Acquisition Date	2/10/2020 8:29:18 PM
Type	Unknown
Level	1
Sample Name	Rec-3
Sample ID	UNK-0001
ISTD Amount1	1
ISTD Amount2	1
ISTD Amount3	1
ISTD Amount4	1
ISTD Amount5	1
ISTD Amount6	1
ISTD Amount7	1
ISTD Amount8	1
ISTD Amount9	1
ISTD Amount10	1
ISTD Amount11	1
ISTD Amount12	1
ISTD Amount13	1
ISTD Amount14	1
ISTD Amount15	1
ISTD Amount16	1
Sample Amount	1
Dilution Factor	1
Vial#	18
Injection Volume	1
Injection Count	1
Bar Code	

[Original Files]
Data File	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\Rec-3_1.gcd
Method File	C:\GCsolution\Data\Pfleger\Bothfeld\20190829\Agilent_FatWaxUI_method2_trunc.gcm
Batch File	C:\GCsolution\Data\Pfleger\Bothfeld\20200210\20200210.gcb
Report Format File	C:\GCsolution\System\DEFAULT.gcr

[File Comment]


[Configration]
Instrument Name	FID w/AOC
Instrument #	2
Line #	1

[Peak Table (Ch1)]
# of Peaks	138
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor
1	1.474	1.307	1.527	12538806	4967284	0.03	0.00000	   			0.000	8340.515	0.000	0.000	0.000	0.000
2	1.555	1.527	1.979	194452863	40252726	0.05	0.00000	SV 			0.055	2442.093	0.000	3.226	0.853	0.000
3	1.788	1.765	1.863	16665	5778	0.03	0.00000	T  			0.212	7656.904	0.000	1.822	2.242	3.867
4	2.060	1.979	3.715	54791918	13610660	0.04	0.00000	SV 			0.397	6068.265	0.000	1.185	2.911	1.869
5	2.415	2.348	2.558	180368	58806	0.03	0.00000	T  			0.638	14724.032	0.000	1.140	3.847	1.608
6	2.696	2.642	2.782	3668	1077	0.03	0.00000	TV 			0.828	14249.271	0.000	0.000	3.307	1.298
7	2.888	2.829	2.941	9500	3430	0.03	0.00000	T  			0.959	25576.202	0.000	0.000	2.371	1.157
8	2.959	2.941	2.992	1369	554	0.02	0.00000	TV 			1.007	0.000	0.000	0.000	0.000	1.050
9	3.058	2.992	3.136	196273	65441	0.03	0.00000	TV 			1.074	24808.722	0.000	1.127	0.000	1.067
10	3.169	3.136	3.230	7306	2317	0.03	0.00000	TV 			1.149	19679.173	0.000	0.000	1.320	1.070
11	3.430	3.365	3.571	1246	241	0.05	0.00000	TV 	15	Xylose	1.326	9692.610	0.000	1.746	2.280	1.154
12	3.868	3.790	3.921	2466	688	0.04	0.00000	   	23	Lactic Acid	1.623	28007.215	0.000	0.000	3.790	1.224
13	3.999	3.921	4.126	204670	73779	0.03	0.00000	 V 	23	Lactic Acid	1.712	48662.601	0.000	1.048	1.591	1.055
14	4.189	4.126	4.271	1637	496	0.03	0.00000	   			1.841	36443.862	0.000	1.005	2.381	1.075
15	4.688	4.649	4.737	1476	489	0.03	0.00000	 V 			2.180	58985.468	0.000	0.000	6.064	1.184
16	4.815	4.737	4.854	2151	511	0.04	0.00000	 V 	1	Acetate_Sugars	2.266	0.000	0.000	0.000	0.000	1.040
17	4.879	4.854	4.942	1388	427	0.03	0.00000	 V 	1	Acetate_Sugars	2.309	0.000	0.000	0.000	0.000	1.019
18	5.164	5.111	5.208	2094	772	0.03	0.00000	   	2	Sugars	2.503	81163.519	0.000	0.000	0.000	1.084
19	5.263	5.208	5.381	46612	17448	0.03	0.00000	 V 	2	Sugars	2.570	91067.609	0.000	1.065	1.392	1.027
20	5.441	5.381	5.503	6523	2484	0.03	0.00000	 V 	3	Propionate_Sugars	2.690	96841.984	0.000	1.041	2.548	1.047
21	5.549	5.503	5.647	1579	482	0.03	0.00000	   	3	Propionate_Sugars	2.764	68466.695	0.000	1.432	1.407	1.027
22	6.113	6.053	6.175	1197	364	0.03	0.00000	 V 	16	Xylose	3.146	88301.323	0.000	0.000	6.760	1.138
23	6.260	6.175	6.314	2324	814	0.03	0.00000	 V 	5	Butyrate	3.246	125341.181	0.000	0.840	1.929	1.032
24	6.447	6.399	6.585	1453	376	0.04	0.00000	   	5	Butyrate	3.373	99734.418	0.000	1.816	2.464	1.039
25	6.871	6.767	6.963	213850	74679	0.03	0.00000	   	6	Isovalerate	3.660	133185.708	0.000	0.951	5.420	1.085
26	8.016	7.952	8.111	2267	618	0.04	0.00000	 V 	9	n-Caproic_Sugars	4.437	122909.705	0.000	0.000	13.763	1.212
27	8.468	8.400	8.564	2459	643	0.04	0.00000	 V 	19	Xylose	4.743	118903.205	0.000	0.000	4.777	1.069
28	8.649	8.564	8.774	1351	336	0.04	0.00000	   	10	Heptanoic	4.866	109167.163	0.000	1.106	1.795	1.026
29	8.851	8.783	8.937	1128	296	0.04	0.00000	   	10	Heptanoic	5.003	125593.752	0.000	1.189	1.973	1.028
30	9.156	9.017	9.255	225505	68512	0.03	0.00000	   	11	Sugars	5.210	180197.933	0.000	0.887	3.286	1.041
31	9.526	9.437	9.637	228126	80021	0.03	0.00000	 V 	24	Lactic Acid	5.460	259450.233	0.000	0.930	4.602	1.048
32	10.020	9.931	10.057	2025	750	0.03	0.00000	   	12	Sugars	5.796	374263.661	0.000	0.000	7.064	1.061
33	10.382	10.225	10.435	1619	337	0.05	0.00000	 V 	25	Lactic Acid	6.041	109380.827	0.000	0.684	3.797	1.042
34	10.603	10.538	10.720	379623	180124	0.02	0.00000	 V 	13	Sugars	6.191	617222.493	0.000	0.951	2.476	1.025
35	10.884	10.790	10.967	221136	108003	0.02	0.00000	 V 	13	Sugars	6.382	679219.863	0.000	1.019	5.267	1.031
36	11.311	11.266	11.383	4241	1927	0.02	0.00000	   	14	Sugars	6.671	777961.619	0.000	0.000	8.224	1.045
37	11.448	11.383	11.485	2807	1296	0.02	0.00000	 V 	14	Sugars	6.765	920652.470	0.000	0.000	2.786	1.014
38	11.517	11.485	11.546	1483	670	0.02	0.00000	 V 	14	Sugars	6.811	588598.671	0.000	0.000	1.278	1.007
39	11.573	11.546	11.597	1412	604	0.02	0.00000	 V 	14	Sugars	6.849	0.000	0.000	0.000	0.000	1.006
40	11.623	11.597	11.658	1983	665	0.03	0.00000	 V 	14	Sugars	6.883	0.000	0.000	0.000	0.000	1.005
41	11.701	11.658	11.779	344516	193796	0.02	0.00000	 V 	14	Sugars	6.936	1057335.616	0.000	1.045	0.000	1.008
42	11.965	11.910	11.999	827566	428050	0.02	0.00000	   	21	Xylose	7.115	966298.545	0.000	0.000	5.631	1.026
